cluster,mean_age,female_ratio,size,size_alive,mortality_rate
0,28.803414869600424,0.5700975396372809,30235298,26745344,0.00024718321065528265
1,47.25052114511822,0.522684141479755,471078,442963,0.008874330361678064
2,55.187523992322454,0.5203454894433781,5210,4747,0.013271539919949442
3,35.529258018448495,0.9525764121540907,222674,222556,8.537177159905821e-05
4,15.140772271207053,0.40643052599574336,13156,13152,
5,27.51757517091173,0.5240788916449876,33058,33047,
6,52.304769253025995,0.41302985002652265,62211,60476,0.004034658376876777
7,53.51473231731145,0.908401719421649,12795,12687,0.001024670922992039
8,26.315234430668376,0.566196380219467,14034,14009,0.0003569134128060533
9,65.56524495302493,0.31806508240954456,184566,170562,0.010336417255895217
10,44.20055317227365,0.6061752088507564,17716,17310,0.003292894280762565
11,68.30893655459612,0.4707805131973789,130632,102326,0.03579735355628091
12,12.305294738269117,0.4723474734614727,169659,169513,0.00011798505129400105
13,55.43581215910603,0.5623919116668884,30068,29889,0.0008698852420622972
14,49.32557392306329,0.4197726466938486,90256,81513,0.01620600395029014
15,57.69383419220685,0.4498689087785914,22122,21895,0.0016442110070792417
16,15.464195575790567,0.45908843470084626,101035,100923,0.00016844525033936765
17,42.584206106116,0.4615403616243454,40484,40067,0.0015474080914468266
18,31.85466184577085,0.7266314978365243,16871,16836,0.00029698265621287717
19,33.084007536296134,0.5118585836196387,18046,18013,0.00033309276633542443
20,61.65878610729023,0.5986932599724897,11632,9558,0.02908558275789914
21,42.109509195681454,0.8786567460755526,45293,45183,0.00033198326804329063
22,36.19203701918442,0.5842090041453775,10373,10304,0.0008734472049689441
23,33.202940361514514,0.7490424266132055,61353,60435,0.0022668983205096386
24,52.65519890729042,0.5501678902737465,35142,34298,0.003965245786926351
25,20.975910793326523,0.5208546135512427,23496,23295,0.00120197467267654
26,56.4310700475562,0.47279613183081404,150769,142587,0.008969962198517397
27,47.878863857495695,0.6399970062121099,80166,78720,0.002705792682926829
28,35.56649293484796,0.4958727802144377,191291,181640,0.007762607355208104
29,38.3445858725346,0.999984989943262,66622,66449,0.0003762283856792427
30,35.982578125,0.51078125,12800,12766,0.00046999843333855553
31,42.532086099376386,0.5266545966606316,9942,9878,0.0012148208139299453
32,52.023090154108104,0.8522508122383029,57557,56473,0.0028686274857011316
33,11.726894978203878,0.4323262543157831,132363,131446,0.0011867991418529282
34,47.00503812029069,0.5585179901021,44858,44493,0.0013035758433910952
35,52.09365370229296,0.4773895557522974,145707,137643,0.007998953815304811
36,37.84085664963167,0.554583212265199,58507,57497,0.0025566551298328607
37,41.97186433188348,0.48162917843589165,461656,416886,0.016337799782194653
