cluster,mean_age,female_ratio,size,size_alive,mortality_rate
0,28.803414869600424,0.5700975396372809,30235298,26745344,0.00024718321065528265
1,41.31864587086701,0.5189555772893396,233124,227377,0.0034963958535823765
2,61.23503099741034,0.54971356823354,12743,10895,0.023129876089949517
3,54.791583166332664,0.7007615230460922,12475,12332,0.0014596172559195588
4,35.29942093541203,0.5010244988864142,11225,11211,
5,34.16110507527549,0.7137979202234984,12886,12801,0.000859307866572924
6,37.9803971922616,0.44718370142098957,11682,11554,0.0013848018002423402
7,25.580375135637887,0.5554177646876454,12902,12877,0.00038828919779451736
8,53.53986724575924,0.9093665492092109,12203,12137,0.0006591414682376205
9,15.030478395061728,0.4040895061728395,12960,12956,
10,41.275873478030704,0.6103758602435151,15112,14939,0.0014726554655599437
11,47.61885627766131,0.4789191707430701,17172,16118,0.008375728998635066
12,45.69969686428465,0.45962331660289224,20123,16283,0.035497144260885585
13,46.77671848013817,0.6585837651122626,14475,14369,0.000974319716055397
14,53.0783695592058,0.4836568773851004,18081,14585,0.03201919780596503
15,31.63141005070278,0.7139464732687247,15581,15560,
16,78.32993108261363,0.6308557969118032,22926,21592,0.0087532419414598
17,24.780387029288704,0.5891213389121339,19120,18791,0.002288329519450801
18,42.663000439947204,0.5349758029036515,20457,18823,0.01333475003984487
19,31.96477994892202,0.5160064144443784,16837,16822,
20,20.62523714300364,0.5136645644259857,19503,19401,0.0007216122880263904
21,48.09620573355818,0.298397976391231,23720,22453,0.008373045918140115
22,59.94387845238796,0.6737824627524881,33962,31192,0.012182610925878431
23,50.68825846114438,0.5384393711376517,31231,30796,0.0022080789712949733
24,58.16117246192373,0.45740793957058995,24359,24204,0.0009915716410510659
25,54.83402897127424,0.5671144470555224,28511,28357,0.0008110872095073527
26,68.27313041725459,0.419119129207821,39688,32998,0.027638038669010243
27,27.492416671565458,0.5211039915348892,34022,34011,
28,42.10142265907915,0.46065700982928093,38660,38369,0.0011206963955276395
29,46.64510108864697,0.5451010886469674,38580,38396,0.0007813313886863215
30,50.27647928667594,0.8470061135756692,45309,44926,0.0012464942349641633
31,36.19625395074561,0.5471225844770168,47143,46748,0.001283477368015744
32,42.12865186689436,0.8789634005630682,43334,43249,0.00025434114083562625
33,53.161629732504075,0.41639997584686916,66244,64329,0.0041816288143760975
34,32.71394837407167,0.7562189054726368,55476,54877,0.0015489184904422617
35,52.587455978534294,0.5665828162557996,89445,84407,0.00915800822206689
36,30.523750131749992,0.5076063661595756,56926,56693,0.0005820824440407105
37,38.351178624189096,0.9999839424497399,62276,62194,0.0002090233784609448
38,47.00746048358962,0.6426347851756434,74526,73571,0.0019029237063516876
39,48.61970592475134,0.31836528758829463,69370,69266,0.00024543065862039096
40,50.00431034482759,0.4424806137601056,96976,87510,0.016638098503028224
41,36.88373292085589,0.610657161751684,89217,88791,0.0008559426067957338
42,11.382738281921835,0.4409619295245996,98843,98321,0.0009458813478300668
43,15.677814075570746,0.46105330740034367,105914,105822,0.0001417474627204173
44,50.58511848698338,0.479764909769054,132715,126819,0.006316088283301398
45,68.69710508938985,0.47803977956468346,162043,130987,0.031445868673990546
46,44.5509703531027,0.004290433762853424,139846,138570,0.001400014433138486
47,48.42092522146258,0.23238275119044452,150364,148643,0.0017693399621912906
48,52.32230869401534,0.5110935561713499,162031,158234,0.003716015521316531
49,36.91097758773223,0.49346484391456374,189896,180309,0.007936375888058832
50,16.49307239348805,0.4027825886156333,17322,17024,0.0029370300751879698
51,46.63449942848754,0.5150952695546397,190722,187685,0.0025414923941710845
52,52.29185560593936,0.6496991790403367,202446,197793,0.0034834397577265122
53,53.98132876419729,0.7054068109845002,215358,207417,0.005954188904477454
54,86.54059816044344,0.7470914296156423,16417,14844,0.01643761789275128
55,33.9760927664919,0.39160934480257426,205419,204205,0.0009598197889375872
56,50.954131977544755,0.6940027539455567,236025,233637,0.0016564157218248823
57,11.961016979998908,0.46626294429177206,219788,219525,0.0001867668830429336
58,47.548125431963875,0.5078695024189978,241629,240002,0.001233323055641203
59,66.9130260570711,0.33872953189801885,242084,220132,0.013005832863918014
60,65.65514779979846,0.29958851192475644,47632,45585,0.00721728638806625
61,32.017954533919976,0.4499291422503484,256147,255594,0.0003755956712598887
62,52.378556300128466,0.4966077566751155,288010,284883,0.0018393515934611753
63,29.511498096604978,0.4794205581122949,276611,276125,0.0003186962426437302
64,10.215145736856442,0.43247071642604196,18355,18344,
65,37.20694896003177,0.910775249048879,307269,306425,0.0004699355470343477
66,41.38153711215875,0.8561561232321018,18242,18182,0.0005499945000549994
67,47.15419351453168,0.503702312529863,362071,345668,0.007287339296666165
68,22.98425025920166,0.5115603939865215,308640,306291,0.001260239445494644
69,19.8364776684586,0.5218920106839774,59154,58015,0.003826596569852624
70,43.350697739697644,0.32392431796612886,299252,291806,0.004232263901359122
71,38.32217359591539,0.2097738876732312,13710,13534,0.0025121915176592284
72,48.92841144038594,0.44210889042039975,23216,22660,0.004368932038834952
73,57.81508478081059,0.3302315963606286,19344,12762,0.09120827456511518
74,41.234228727682165,0.3965899951745215,31085,30667,0.003065184074086151
75,46.943448133146276,0.9977723743993475,328601,327318,0.0006568535796992527
76,44.919984767063006,0.9985190200143866,23633,23568,0.0006788866259334691
77,49.89892693040457,0.9994676678247226,71384,71268,0.00036482011561991357
78,13.065565483259942,0.4435765316377058,328374,327891,0.0002409337249268812
79,8.155588747821758,0.4228030868807568,20085,20081,
80,5.738620215448086,0.36699518679807475,21815,21813,
81,6.103497880072683,0.3812083585705633,26416,26408,
82,7.538628798453774,0.4104746053903146,37252,37204,0.0002419094720997742
83,54.14057457755696,0.5286895716806924,508826,503108,0.002033360630321919
84,63.232909794987336,0.44524852515404567,358173,322407,0.01699714956561117
